,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s),total data selection time (s)
criteo1tb_adamw,8000.0,10666.666666666666,1600.0,9538.968878030777,8185.988485574722,244.2294466495514,1108.7312579154968,145.16056728363037,184.0,963.5706906318665,1416.0,0.6804877758699622,7278.487092469821,
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,8660.199362754822,7428.808777093887,157.8506841659546,1073.5196511745453,144.5741264820099,184.0,928.9455246925354,1416.0,0.6560349750653499,7021.570091767051,
criteo1tb_nadamw,8000.0,10666.666666666666,1600.0,12333.957279920578,10702.521873950958,400.85560369491577,1230.5586552619934,146.05612969398499,164.0,1084.5025255680084,1436.0,0.7552245999777217,8077.92836172667,
criteo1tb_nesterov,8000.0,10666.666666666666,1600.0,8669.208232164383,7437.6193170547485,149.45924282073975,1082.1109101772308,142.72582006454468,184.0,939.3850901126862,1416.0,0.6634075495146089,7097.006025776351,
fastmri_adamw,27142.0,36189.333333333336,5428.0,1676.9359061717987,282.9290335178375,4.700815200805664,1389.2380073070526,145.01519441604614,331.0,1244.2228128910065,5097.0,0.2441088508712981,8898.351738576011,
fastmri_momentum,27142.0,36189.333333333336,5428.0,1686.7521364688873,283.11869502067566,3.4018123149871826,1400.1609807014465,143.04508090019226,328.0,1257.1158998012543,5100.0,0.24649331368652044,8982.623967450398,
fastmri_nadamw,27142.0,36189.333333333336,5428.0,1673.4666848182678,285.3996160030365,4.501502752304077,1383.497567653656,144.2394528388977,332.0,1239.2581148147583,5096.0,0.2431825186057218,8864.1160833238,
fastmri_nesterov,27142.0,36189.333333333336,5428.0,1663.186063528061,282.3271179199219,3.0991787910461426,1377.694709777832,144.0798008441925,333.0,1233.6149089336395,5095.0,0.24212265140993905,8825.710297349438,
imagenet_resnet_adamw,140000.0,186666.66666666666,28000.0,9831.017434835434,395.6093604564667,23.79249620437622,9411.293343305588,557.7915813922882,1519.0,8853.5017619133,26481.0,0.33433411736389484,62458.9732983769,
imagenet_resnet_momentum,140000.0,186666.66666666666,28000.0,9847.792346477509,403.05249071121216,15.968958377838135,9428.39398765564,556.8747472763062,1524.0,8871.519240379333,26476.0,0.3350777776242383,62594.06803736811,
imagenet_resnet_nadamw,140000.0,186666.66666666666,28000.0,9941.523412704468,388.23052740097046,24.991530895233154,9527.951814174652,558.4132807254791,1506.0,8969.538533449173,26494.0,0.33854980499166504,63244.52087285217,
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,9957.13237118721,394.5875222682953,15.2455153465271,9546.973285913467,555.9447631835938,1498.0,8991.028522729874,26502.0,0.339258490782955,63375.98715680899,
imagenet_vit_adamw,140000.0,186666.66666666666,28000.0,12490.420605182648,774.163138628006,51.422988414764404,11664.211855649948,471.9129114151001,1001.0,11192.298944234848,26999.0,0.41454494404366266,77438.67631057775,
imagenet_vit_momentum,140000.0,186666.66666666666,28000.0,12209.571457862854,768.2300038337708,34.495277404785156,11406.284784317017,468.1541361808777,1027.0,10938.130648136139,26973.0,0.4055214714023705,75749.02491349314,
imagenet_vit_nadamw,140000.0,186666.66666666666,28000.0,12507.545429468155,758.8373136520386,50.77108645439148,11697.385766983032,470.41340684890747,992.0,11226.972360134125,27008.0,0.41569062352392344,77653.63136611221,
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,12738.843650341034,763.905818939209,39.409586668014526,11934.98826432228,467.5246934890747,980.0,11467.463570833206,27020.0,0.4244064978102593,79274.15258355008,
librispeech_conformer_adamw,100000.0,133333.33333333334,20000.0,15935.596105575562,759.2374794483185,11.547072410583496,15164.549176454544,2463.6030707359314,3136.0,12700.946105718613,16864.0,0.7531395935554206,100520.36977940222,
librispeech_conformer_momentum,100000.0,133333.33333333334,20000.0,16690.402992725372,742.0335381031036,8.217254638671875,15939.820055007935,2464.032116651535,3044.0,13475.7879383564,16956.0,0.7947504091977117,106011.53309741526,
librispeech_conformer_nadamw,100000.0,133333.33333333334,20000.0,16337.462383031845,761.5938663482666,10.852925777435303,15564.779766321182,2465.296181201935,3070.0,13099.483585119247,16930.0,0.773743862086193,103255.75080275639,
librispeech_conformer_nesterov,100000.0,133333.33333333334,20000.0,16535.919248104095,667.6348195075989,7.584079742431641,15860.473261833191,2462.728982448578,3037.0,13397.744279384613,16963.0,0.7898216282134418,105373.59112602327,
librispeech_deepspeech_adamw,60000.0,80000.0,16000.0,13432.084242343903,853.3934607505798,0.22128558158874512,12578.234146356583,2461.676515340805,3074.0,10116.557631015778,12926.0,0.7826518359133358,62667.95164481007,2789.466808319092
librispeech_deepspeech_momentum,60000.0,80000.0,16000.0,13455.049590110779,774.9754583835602,0.22384905815124512,12679.611937046051,2459.408761739731,3066.0,10220.20317530632,12934.0,0.7901811640100758,63251.2064336909,2867.9125547409058
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,13471.512701749802,882.5866956710815,0.2169191837310791,12588.480517625809,2461.4539234638214,3096.0,10127.026594161987,12904.0,0.784797473199162,62815.51880237218,2813.0091993808746
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,13099.453714847565,730.9736483097076,0.22570300102233887,12368.02884554863,2459.6101264953613,3121.0,9908.418719053268,12879.0,0.7693468995304968,61606.23041550043,2615.6902062892914
ogbg_adamw,60000.0,80000.0,12000.0,3941.9723846912384,1142.1600670814514,1.685539722442627,2798.0263595581055,259.97359323501587,1025.0,2538.0527663230896,10975.0,0.2312576552458396,18523.546916275198,
ogbg_momentum,60000.0,80000.0,12000.0,3952.882199525833,1150.6944134235382,1.1452651023864746,2800.936535835266,259.88331842422485,1023.0,2541.0532174110413,10977.0,0.23148886010850334,18542.17902321349,
ogbg_nadamw,60000.0,80000.0,12000.0,3901.0379631519318,1127.723085641861,1.595766305923462,2771.6236226558685,260.37417006492615,1041.0,2511.2494525909424,10959.0,0.22914950749073296,18353.790132025708,
ogbg_nesterov,60000.0,80000.0,12000.0,3859.6428830623627,1123.0320718288422,1.1136713027954102,2735.4038186073303,259.6519031524658,1065.0,2475.7519154548645,10935.0,0.22640621083263507,18131.026155226515,
wmt_adamw,100000.0,133333.33333333334,20000.0,12726.68507552147,5441.676376819611,42.86041855812073,7241.922610998154,873.3912582397461,2330.0,6368.531352758408,17670.0,0.36041490394784426,48088.945058420504,
wmt_momentum,100000.0,133333.33333333334,20000.0,12769.609462499619,5545.317233800888,29.375240087509155,7194.664098024368,870.1244316101074,2345.0,6324.539666414261,17655.0,0.35822937787676357,47793.99359072424,
wmt_nadamw,100000.0,133333.33333333334,20000.0,12447.770543336868,5120.15834903717,42.171207904815674,7285.220268726349,874.119500875473,2317.0,6411.100767850876,17683.0,0.3625573018068696,48375.04780683824,
wmt_nesterov,100000.0,133333.33333333334,20000.0,12810.375185966492,5568.519872665405,27.008020877838135,7214.646990537643,870.2246091365814,2339.0,6344.422381401062,17661.0,0.3592334738350638,47927.774025178216,
